trial,direction,x_initial_m,y_initial_m,theta_initial_rad,x_final_m,y_final_m,theta_final_rad,commanded_duration_s,actual_cmd_publish_duration_s,mu_delta,r_star_m,delta_theta_actual_rad,omega_hat_rad_s,gamma_hat_rad_s,v_hat_m_s
1,CW,0.000002,0.000004,0.000126,0.005901,0.004980,-1.580180,3.141593,3.150000,0.592898,0.005985,1.401201,0.446016,-0.949043,0.002669
2,CW,0.000002,0.000001,0.000063,0.005889,0.004967,-1.580153,3.141593,3.150000,0.592832,0.005973,1.401311,0.446051,-0.949049,0.002664
3,CW,0.000002,0.000001,0.000066,0.005889,0.004972,-1.580168,3.141593,3.150000,0.592273,0.005972,1.402241,0.446347,-0.949351,0.002666
4,CW,0.000002,0.000001,0.000065,0.005864,0.004963,-1.580149,3.141593,3.150000,0.590746,0.005944,1.404787,0.447158,-0.950155,0.002658
5,CW,0.000002,0.000001,0.000064,0.005870,0.004964,-1.580205,3.141593,3.150000,0.591279,0.005951,1.403897,0.446874,-0.949889,0.002659
6,CW,0.000002,0.000001,0.000065,0.005901,0.004976,-1.580243,3.141593,3.150000,0.592913,0.005985,1.401176,0.446008,-0.949036,0.002669
7,CW,0.000002,0.000001,0.000065,0.005874,0.004966,-1.580279,3.141593,3.150000,0.591453,0.005956,1.403606,0.446782,-0.949821,0.002661
8,CW,0.000002,0.000001,0.000066,0.005901,0.004976,-1.580239,3.141593,3.150000,0.592938,0.005985,1.401134,0.445995,-0.949021,0.002669
9,CW,0.000002,0.000001,0.000066,0.005901,0.004976,-1.580245,3.141593,3.150000,0.592890,0.005985,1.401215,0.446021,-0.949049,0.002669
10,CW,0.000002,0.000001,0.000064,0.005901,0.004976,-1.580245,3.141593,3.150000,0.592911,0.005985,1.401179,0.446009,-0.949037,0.002669
11,CW,0.000002,0.000001,0.000065,0.005875,0.004966,-1.580281,3.141593,3.150000,0.591469,0.005956,1.403579,0.446773,-0.949813,0.002661
12,CW,0.000002,0.000001,0.000066,0.005901,0.004976,-1.580244,3.141593,3.150000,0.592897,0.005985,1.401202,0.446017,-0.949045,0.002669
13,CW,0.000002,0.000001,0.000064,0.005875,0.004966,-1.580281,3.141593,3.150000,0.591468,0.005956,1.403581,0.446774,-0.949813,0.002661
14,CW,0.000002,0.000001,0.000066,0.005901,0.004976,-1.580244,3.141593,3.150000,0.592893,0.005985,1.401209,0.446019,-0.949047,0.002669
15,CW,0.000002,0.000001,0.000066,0.005875,0.004966,-1.580281,3.141593,3.150000,0.591469,0.005956,1.403581,0.446774,-0.949814,0.002661
16,CW,0.000002,0.000001,0.000064,0.005874,0.004966,-1.580282,3.141593,3.150000,0.591464,0.005956,1.403589,0.446776,-0.949816,0.002661
17,CW,0.000002,0.000001,0.000065,0.005873,0.004978,-1.575215,3.141593,3.150000,0.589814,0.005951,1.406344,0.447653,-0.949080,0.002664
18,CW,0.000002,0.000001,0.000065,0.005901,0.004976,-1.580245,3.141593,3.150000,0.592891,0.005985,1.401212,0.446020,-0.949048,0.002669
19,CW,0.000002,0.000001,0.000067,0.005900,0.004976,-1.580246,3.141593,3.150000,0.592875,0.005985,1.401239,0.446028,-0.949057,0.002669
20,CW,0.000002,0.000001,0.000067,0.005901,0.004976,-1.580245,3.141593,3.150000,0.592872,0.005985,1.401244,0.446030,-0.949059,0.002669
1,CCW,0.000002,0.000001,0.000065,0.006827,-0.007685,1.579834,3.141593,3.150000,-0.443924,0.006873,-1.689471,-0.537775,1.040631,-0.003696
2,CCW,0.000002,0.000001,0.000064,0.006794,-0.007676,1.574807,3.141593,3.142000,-0.442285,0.006842,-1.693143,-0.538944,1.040200,-0.003688
3,CCW,0.000002,0.000001,0.000065,0.006819,-0.007687,1.574919,3.141593,3.150000,-0.443283,0.006866,-1.690906,-0.538232,1.039524,-0.003696
4,CCW,0.000002,0.000001,0.000064,0.006855,-0.007689,1.579930,3.141593,3.150000,-0.445498,0.006898,-1.685957,-0.536657,1.039544,-0.003702
5,CCW,0.000002,0.000001,0.000064,0.006843,-0.007686,1.580032,3.141593,3.150000,-0.444898,0.006887,-1.687296,-0.537083,1.040003,-0.003699
6,CCW,0.000002,0.000001,0.000063,0.006826,-0.007685,1.579827,3.141593,3.150000,-0.443862,0.006872,-1.689611,-0.537820,1.040675,-0.003696
7,CCW,0.000002,0.000001,0.000063,0.006843,-0.007686,1.580033,3.141593,3.150000,-0.444885,0.006887,-1.687323,-0.537092,1.040012,-0.003699
8,CCW,0.000002,0.000001,0.000063,0.006826,-0.007685,1.579826,3.141593,3.150000,-0.443845,0.006872,-1.689648,-0.537832,1.040686,-0.003696
9,CCW,0.000002,0.000001,0.000065,0.006855,-0.007689,1.579904,3.141593,3.150000,-0.445534,0.006898,-1.685876,-0.536631,1.039509,-0.003702
10,CCW,0.000002,0.000001,0.000063,0.006819,-0.007688,1.574915,3.141593,3.150000,-0.443238,0.006866,-1.691008,-0.538265,1.039556,-0.003696
11,CCW,0.000002,0.000001,0.000063,0.006827,-0.007686,1.579832,3.141593,3.150000,-0.443867,0.006873,-1.689599,-0.537816,1.040672,-0.003696
12,CCW,0.000002,0.000001,0.000063,0.006855,-0.007690,1.579925,3.141593,3.150000,-0.445456,0.006898,-1.686051,-0.536687,1.039572,-0.003702
13,CCW,0.000002,0.000001,0.000063,0.006854,-0.007690,1.579927,3.141593,3.150000,-0.445442,0.006898,-1.686080,-0.536696,1.039582,-0.003702
14,CCW,0.000002,0.000001,0.000064,0.006854,-0.007690,1.579926,3.141593,3.150000,-0.445439,0.006898,-1.686087,-0.536698,1.039584,-0.003702
15,CCW,0.000002,0.000001,0.000063,0.006855,-0.007688,1.579853,3.141593,3.150000,-0.445577,0.006898,-1.685779,-0.536600,1.039463,-0.003702
16,CCW,0.000002,0.000001,0.000063,0.006825,-0.007686,1.579823,3.141593,3.150000,-0.443793,0.006872,-1.689764,-0.537868,1.040722,-0.003696
17,CCW,0.000002,0.000001,0.000063,0.006826,-0.007686,1.579830,3.141593,3.150000,-0.443823,0.006872,-1.689698,-0.537848,1.040703,-0.003696
18,CCW,0.000002,0.000001,0.000063,0.006826,-0.007686,1.579828,3.141593,3.150000,-0.443807,0.006872,-1.689733,-0.537859,1.040713,-0.003696
19,CCW,0.000002,0.000001,0.000063,0.006825,-0.007686,1.579825,3.141593,3.150000,-0.443787,0.006872,-1.689777,-0.537873,1.040726,-0.003696
20,CCW,0.000002,0.000001,0.000063,0.006855,-0.007689,1.579851,3.141593,3.150000,-0.445549,0.006898,-1.685843,-0.536620,1.039483,-0.003702
